model,condition,n,mean_CDS,std_CDS,ECE_T1,ECE_T5,delta_ECE,CDR
claude,A,15,,,0.352,,,
claude,B,15,-0.03200000000000001,0.051018204034022435,0.352,0.32000000000000006,-0.03199999999999992,-0.010266666666666646
claude,C,15,-0.0040000000000000036,0.015491933384829681,0.292,0.11199999999999999,-0.18,-0.03199999999999999
gemini,A,15,,,0.33133333333333337,,,
gemini,B,15,0.0013333333333333346,0.0035186577527449876,0.33133333333333337,0.33266666666666667,0.0013333333333332975,-0.013066666666666671
gemini,C,15,0.0020000000000000018,0.020424075429327466,0.32666666666666666,0.004666666666666708,-0.32199999999999995,-0.06426666666666668
gpt52,A,15,,,0.3553333333333335,,,
gpt52,B,15,0.00733333333333334,0.020165977949672252,0.3553333333333335,0.6293333333333333,0.2739999999999998,0.04106666666666663
gpt52,C,15,-0.0059999999999999975,0.015023790657297042,0.3539999999999999,0.14399999999999996,-0.20999999999999996,-0.045933333333333326
